categories,category,image_url,name,original_price,price,product_exists,product_url,scraped_at,sku,sku_array,title
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/controller_ac_dc_ecopower_1_906b4c36dfe840758d1ebc5cb4ebe143_medium.jpg,Bộ Điều Khiển Vòi Cảm Ứng TOTO TLE03502A1/TLN01102A Tự Tạo Năng Lượng Lạnh,"5,900,000₫","4,602,000₫",True,https://tototuantu.vn/products/bo-dieu-khien-voi-cam-ung-kem-day-cap-van-dung-tle03502a1-tln01102a,2025-04-10 14:17:17,TLE03502A1/TLN01102A,TLE03502A1/TLN01102A,Bộ Điều Khiển Vòi Cảm Ứng TOTO TLE03502A1/TLN01102A Tự Tạo Năng Lượng Lạnh
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/controller_ac_dc_ecopower_c073d306e3b244a89b1ab773214c73ac_medium.jpg,Bộ Điều Khiển Vòi Cảm Ứng TOTO TLE01502V/TLN01102A,"4,540,000₫","3,541,200₫",True,https://tototuantu.vn/products/bo-dieu-khien-voi-cam-ung-toto-tle01502v-tln01102a,2025-04-10 14:18:34,TLE01502V/TLN01102A,TLE01502V/TLN01102A,Bộ Điều Khiển Vòi Cảm Ứng TOTO TLE01502V/TLN01102A
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/anh_14_7b3cb511bc39455ca4a3bcdf28fe062c_medium.png,Vòi cảm ứng tự động (Loại gắn bàn) TLE28002A,"6,810,000₫","5,311,800₫",True,https://tototuantu.vn/products/voi-cam-ung-tu-dong-loai-gan-ban-tle28002a,2025-04-10 14:19:51,TLE28002A,TLE28002A,Vòi cảm ứng tự động (Loại gắn bàn) TLE28002A
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/anh_13_f14fefabe58e455ab85efd25fcbfd412_medium.png,Vòi cảm ứng tự động (Loại gắn bàn) TLE27002A,"6,490,000₫","5,062,200₫",True,https://tototuantu.vn/products/voi-cam-ung-tu-dong-loai-gan-ban-tle27002a,2025-04-10 14:21:26,TLE27002A,TLE27002A,Vòi cảm ứng tự động (Loại gắn bàn) TLE27002A
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/anh_3_46406d4f8c1a48aba23789ff2d2e4d2c_medium.png,Vòi Lavabo Cảm Ứng TOTO TLE26010V Tự Động Gắn Tường,"11,130,000₫","8,681,400₫",True,https://tototuantu.vn/products/voi-lavabo-cam-ung-toto-tle26010v-tu-dong-gan-tuong,2025-04-10 14:23:03,TLE26010V,TLE26010V,Vòi Lavabo Cảm Ứng TOTO TLE26010V Tự Động Gắn Tường
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/8____28_4d64e7f3c1f545b6b6e5814c9cbd83e9_medium.png,Vòi Lavabo Cảm Ứng TOTO TLE26008A Tự Động Thân Cao,"9,520,000₫","7,425,600₫",True,https://tototuantu.vn/products/voi-cam-ung-tu-dong-loai-gan-ban-tle26008a,2025-04-10 14:24:31,TLE26008A,TLE26008A,Vòi Lavabo Cảm Ứng TOTO TLE26008A Tự Động Thân Cao
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/8____30_11d351c7b07b47ba9e6b777e65409ac2_medium.png,Vòi Lavabo Cảm Ứng TOTO TLE26006A Tự Động,"7,950,000₫","6,201,000₫",True,https://tototuantu.vn/products/voi-cam-ung-tu-dong-loai-gan-ban-tle26006a,2025-04-10 14:25:37,TLE26006A,TLE26006A,Vòi Lavabo Cảm Ứng TOTO TLE26006A Tự Động
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/8____31_a78f7e963db3499ea94d0071786868b8_medium.png,Vòi Lavabo Cảm Ứng TOTO TLE25010V Tự Động Gắn Tường,"12,500,000₫","9,750,000₫",True,https://tototuantu.vn/products/voi-lavabo-cam-ung-toto-tle25010v-tu-dong-gan-tuong,2025-04-10 14:26:43,TLE25010V,TLE25010V,Vòi Lavabo Cảm Ứng TOTO TLE25010V Tự Động Gắn Tường
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/8____33_f18f0ad459114c13a73f123915667a2b_medium.png,Vòi Lavabo Cảm Ứng TOTO TLE25007V Tự Động Thân Vừa,"10,220,000₫","7,971,600₫",True,https://tototuantu.vn/products/voi-lavabo-cam-ung-toto-tle25007v-tu-dong-than-vua,2025-04-10 14:28:10,TLE25007V,TLE25007V,Vòi Lavabo Cảm Ứng TOTO TLE25007V Tự Động Thân Vừa
"Vòi, Vòi tự động",voi,https://product.hstatic.net/1000238289/product/anh_1_0f63dacc634545388f895e7ae7fa778e_medium.png,Vòi Lavabo Cảm Ứng TOTO TLE25006A Tự Động,"9,080,000₫","7,082,400₫",True,https://tototuantu.vn/products/voi-cam-ung-tu-dong-loai-gan-ban-tle25006a,2025-04-10 14:29:37,TLE25006A,TLE25006A,Vòi Lavabo Cảm Ứng TOTO TLE25006A Tự Động
